    Lp	    Lc	 Width	  Wall	File 
 0.500	 0.530	17.366	 6.930	                        
 0.190	 0.240	26.156	 6.930	                        
 0.210	 0.310	23.501	 0.000	                        
 0.780	 1.050	25.325	 0.000	                        
 0.490	 0.720	37.873	10.780	                        
 0.060	 0.060	 0.000	 0.000	                        
 0.100	 0.100	 0.000	 0.000	                        
 0.100	 0.100	 0.000	 0.000	                        
 1.670	 1.920	23.481	 0.000	                        
 0.780	 1.740	39.124	 0.000	                        
 1.290	 1.400	18.420	 0.000	                        
 0.880	 1.550	24.575	 0.000	                        
 0.070	 0.070	 0.000	 0.000	                        
 0.080	 0.090	 0.000	 0.000	                        
 0.840	 0.900	31.075	14.630	                        
 1.430	 1.500	35.944	 0.000	                        
 0.940	 1.090	20.733	 0.000	                        
 0.510	 0.590	21.769	 5.390	                        
 1.860	 2.090	31.653	 0.000	                        
 0.120	 0.130	 0.000	 0.000	                        
 0.060	 0.060	 0.000	 0.000	                        
 1.090	 1.960	27.948	 0.000	                        
 1.260	 1.390	14.910	 0.000	                        
 2.480	 2.620	15.423	 6.160	                        
 0.790	 0.980	26.031	 0.000	                        
 2.250	 2.350	35.562	16.170	                        
 1.770	 2.620	31.673	 0.000	                        
 0.470	 0.480	19.579	 0.000	                        
 1.210	 1.300	25.193	 6.930	                        
 0.380	 0.410	30.427	10.010	                        
 0.080	 0.080	 0.000	 0.000	                        
 2.770	 3.150	28.580	 0.000	                        
 0.940	 1.010	18.608	 9.240	                        
 0.720	 1.550	33.451	 0.000	                        
 2.630	 2.970	25.171	 0.000	                        
 2.570	 2.800	20.338	 0.000	                        
 1.560	 3.100	27.873	10.780	                        
 0.130	 0.140	 0.000	 0.000	                        
 0.200	 0.210	11.903	 4.620	                        
 0.160	 0.160	 0.000	 0.000	                        
 1.330	 2.150	16.166	 0.000	                        
 0.750	 1.080	24.857	 0.000	                        
 0.420	 0.440	33.696	12.320	                        
 2.670	 2.860	24.882	11.550	                        
 0.920	 0.990	26.135	 0.000	                        
 1.930	 2.950	17.743	 8.470	                        
 1.060	 1.620	77.412	 0.000	                        
 0.280	 0.300	17.310	 6.160	                        
 0.480	 0.520	27.906	 3.850	                        
 1.330	 1.450	20.976	 0.000	                        
 2.390	 2.540	51.436	11.550	                        
 2.640	 2.760	23.890	 0.000	                        
